# TR_COL	1
# GENE_COL	1
# EXP	Astrocyte	2
# EXP	Neuron	6
# EXP	OPC	8
# EXP	NFO	7
# EXP	MO	5
# EXP	Microglia	4
# EXP	Endothelial	3
# END
2210404J11Rik	7.4	2.8	6.3	6.3	2.3	1.4	2.7
2210408F21Rik	0.2	2.5	0.6	0.1	0.5	0.5	0.1
2210408I21Rik	3.4	1.8	2.1	1.4	0.5	0.4	1.8
2210411K11Rik	1.7	1.9	2.7	1.7	1.5	0.7	4.5
2300009A05Rik	5.8	6.4	6.8	7.9	5.8	2.4	4
2310001A20Rik	30.2	21.5	32.7	24.8	9.4	20.5	21.8
2310003C23Rik	7.7	8.4	10.7	7.2	6.5	9.9	7.9
2310003F16Rik	20.4	43.6	30.8	26.3	21.1	15.2	43.5
2310003H01Rik	4.9	12.6	6.3	3.6	2.6	9.1	3.7
2310003L22Rik	5.6	7.1	6.7	4.6	4.2	1.3	3.8
2310004I24Rik	6.1	4	6.5	3.7	2	3.1	8.3
2310004N24Rik	8.3	14.9	21.9	24.9	21.6	24.6	4.9
2310008H04Rik	3	0.7	4.8	3	1.5	3.3	3.4
2310008H09Rik	5	5.5	6.1	4.8	3	4.5	7.4
2310009A05Rik	4.8	6.4	6.9	7.5	6.5	5.6	13
2310009B15Rik	2.4	5.8	5.7	4.7	3.2	3.1	9.9
2310011J03Rik	5.3	6	8.5	12.7	14.1	18.7	13
2310014H01Rik	2.6	4.4	16.9	12.7	2	143.8	25.9
2310015A10Rik	3.4	1.1	6.9	2.5	2.2	1.5	1.9
2310016C08Rik	4.2	3.9	8.9	6.5	3.8	67.8	192.3
2310016M24Rik	14.2	25.6	38.3	25.7	28.3	33.9	38.1
2310021P13Rik	29.1	26.5	18.7	18.9	6.1	30.1	14
2310022A10Rik	4	6.4	5.2	2.7	1.5	6.7	2
2310022B05Rik	52.6	15.6	20.1	24.8	32.9	37.6	19.1
2310028H24Rik	13	45	18.3	26.4	34.6	11.7	3.4
2310028O11Rik	14	17.2	21.4	18.8	13.9	18.3	34.2
2310030N02Rik	4	3.7	4.1	1.4	0.7	1.8	2.8
2310033P09Rik	4.7	4.5	4.1	3.5	3	9	6.2
2310035C23Rik	10.3	13.6	7.2	16.1	6.7	1.5	5.5
2310035K24Rik	5.2	3	6.4	3	4.2	10.5	3.5
2310036O22Rik	26.7	56	40.5	38.9	36.3	69.8	57.4
2310037I24Rik	4.7	4.1	5.9	5.1	2.3	3.6	3.7
2310039H08Rik	3.1	5	4	4.7	4	2.9	8.2
2310042D19Rik	3.4	1.6	0.9	4.9	0.8	0.2	0.3
2310044G17Rik	13.6	11.9	22.8	10.5	5.2	2.2	3
2310044H10Rik	39.6	58.2	101.6	103.2	81.6	70.4	42.1
2310045N01Rik	5.9	8.1	9.9	9.3	13.9	16.7	16.2
2310046K01Rik	0.2	0.1	0.1	0.1	0.1	0.2	14.3
2310046O06Rik	4.9	6	7.2	6.7	3.7	4.8	9
2310047B19Rik	2.8	4.3	5.9	4.1	4.2	2.3	4.2
2310047M10Rik	7	9.9	7	5.4	7.6	18.3	9.7
2310057J16Rik	1	13.4	5.3	2.4	0.5	0.4	0.1
2310057M21Rik	3.8	3.6	3.3	4.1	1.7	3.3	2.3
2310061C15Rik	2.6	1.4	5.6	4.7	3.7	4.4	6.5
2310061I04Rik	16.4	22.4	15.4	10.3	5.9	6.2	5
2310061J03Rik	1.4	3.8	1.7	2.7	2.3	1.8	3.6
2310067B10Rik	11.1	13.8	10.7	7.3	3.1	7.6	3.6
2310069G16Rik	4	1.4	2.5	0.9	1	0.1	0.1
2400001E08Rik	14.1	14.7	26.9	30.7	36.2	60.4	23.3
2400003C14Rik	44.7	41.9	47.1	46.8	30.8	42.6	37.9
2410001C21Rik	7.7	17.7	17.1	17.1	16.6	38.9	17.7
2410002F23Rik	14.4	30.8	25.7	23.4	10.5	19.5	8.5
2410002I01Rik	6.7	3.8	3.5	3.7	2.4	4.3	1.2
2410002O22Rik	10.1	11.3	14.8	13	6.4	1.9	11.4
2410003K15Rik	9.3	7.5	8.7	5.5	4.2	6.2	10.5
2410004B18Rik	10	18	17.3	17.9	11.1	7	12.4
2410004N09Rik	9.2	17	9.1	6.8	6.3	9.1	16.7
2410004P03Rik	1.2	0.4	0.3	0.2	0.1	0.1	0.2
2410006H16Rik	40.1	108.9	52.4	63.1	60.7	128.9	156
2410015M20Rik	12	20.4	23.6	25.8	31.9	24.9	50.8
2410016O06Rik	1.8	2.2	6.8	2	1	10.5	1.6
2410017P09Rik	6.5	4.2	8.9	12.2	7.6	7.1	5.8
2410018M08Rik	0.5	1.6	1.2	1.7	2.1	1.8	3.7
2410022L05Rik	6.8	16.3	17.8	9.5	6.4	14.1	3.6
2410042D21Rik	7.2	4.6	6.8	5.5	1.8	0.8	10.6
2410066E13Rik	1.7	50.8	4.2	3.7	9.7	1.7	3.9
2410075B13Rik	0.7	2.3	2.4	1.5	0.8	0.8	1.1
2410076I21Rik	0.1	13.1	0.3	0.2	0.2	1.7	0.1
2410089E03Rik	5.5	6.6	4.2	2.8	0.7	0.5	1.4
2410091C18Rik	4.4	5.7	6.8	4.4	2.5	5.1	5.5
2410127L17Rik	2.5	1.7	7	2	0.5	0.6	2.2
2410131K14Rik	5.4	11.6	6.9	5	2.9	8.4	2.1
2500003M10Rik	43.6	37.4	96	93.5	48.1	30.8	34.6
2500004C02Rik	1.9	1.2	3	2.6	1.4	0.5	1.2
2510002D24Rik	3.2	4.6	3.9	2	2.4	2.2	10.7
2510003E04Rik	15.8	26.4	28.7	35	39.9	9.9	7.6
2510006D16Rik	24.2	24.3	44.4	46.4	49.5	44.1	57.9
2510009E07Rik	17.6	19.2	22.2	16.4	12.8	14	11.4
2510012J08Rik	6.6	6	7.2	4.9	2.9	10	6.1
2510039O18Rik	9.7	9.5	15	17.5	11.3	51.3	17.3
2610001J05Rik	9	10.1	23.6	23.3	26.2	22.8	32
2610002I17Rik	3.9	3.5	5.4	4.1	3.3	1.2	2.8
2610002J02Rik	6.9	5	12.7	5.3	3.4	8.5	7.1
2610002M06Rik	1.1	5.2	3.6	1.8	0.8	0.5	2.2
