	cherry1	cherry2	gallium1	gallium2
Mca00651	209	352	173	108
Mca00652	816	1060	717	945
Mca00653	0	0	0	0
Mca00654	4361	5698	4053	4226
Mca00655	2	0	4	21
Mca00656	2609	3444	2019	2411
Mca00657	145	215	183	209
Mca00658	13	19	14	19
Mca00659	13	19	14	0
Mca00660	195	342	414	476
Mca00661	80	101	66	83
Mca00662	1310	1951	1009	1315
Mca00663	20	23	33	23
Mca00664	6	6	6	4
Mca00665	89	131	119	111
Mca00666	0	0	0	0
Mca00667	2	4	6	2
Mca00668	84	124	237	212
Mca00669	81	108	154	132
Mca00670	17	29	34	37
Mca00671	17	29	34	37
Mca00672	109	150	197	268
Mca00673	0	0	0	0
Mca00674	1893	2695	2371	2808
Mca00675	28	32	70	103
Mca00676	9	32	26	39
Mca00677	11	24	4	23
Mca00678	234	396	382	573
Mca00679	18	52	64	82
Mca00680	651	1062	1212	1636
Mca00681	443	578	788	1086
Mca00682	13	15	23	32
Mca00683	1	0	2	8
Mca00684	1	0	2	8
Mca00685	1	0	2	8
Mca00686	1	0	2	8
Mca00687	2	0	0	2
Mca00688	0	0	0	0
Mca00689	3273	4296	3595	3820
Mca00690	1877	2641	2731	3583
Mca00691	0	4	1	7
Mca00692	132	217	296	364
Mca00693	11	20	26	30
Mca00694	0	0	0	0
Mca00695	15	14	26	32
Mca00696	35	52	34	78
Mca00697	382	622	744	1074
Mca00698	29	51	58	93
Mca00699	17	26	37	36
Mca00700	6	10	3	16
Mca00701	6	7	3	9
Mca00702	4	8	2	5
Mca00703	4	7	2	5
Mca00704	1	1	0	0
Mca00705	0	0	0	1
Mca00706	2	2	1	1
Mca00707	23	27	51	65
Mca00708	0	1	1	2
Mca00709	28	40	50	47
Mca00710	1	1	4	4
Mca00711	3	10	13	21
Mca00712	1961	2550	716	602
Mca00713	0	0	1	1
Mca00714	707	977	887	976
Mca00715	35	55	50	47
Mca00716	4592	6244	5538	5777
Mca00717	0	0	0	3
Mca00718	1	0	0	0
Mca00719	1	0	0	0
Mca00720	1	1	0	0
Mca00721	1	1	0	0
Mca00722	0	1	0	0
Mca00723	641	818	1238	1449
Mca00724	4	25	21	24
Mca00725	4	14	12	17
